ID,Ethnicity
1,WHITE
2,MIXED/MULTIPLE ETHNIC GROUPS
3,ASIAN OR ASIAN BRITISH
4,BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH
10,OTHER ETHNIC GROUP
