ID,DataType
1,Int_ETHORHRPMAJGRP_HH_food_and_drink
2,Int_ETHORHRPMAJGRP_HH_food_only
3,Int_ETHORHRPMAJGRP_EO_food_and_drink
4,Int_ETHORHRPMAJGRP_EO_food_only
